Source,Target,LLMDecision,LLMConfidence,LLMTotalTokens,ExperimentType,K,Model,Label,LogMapPred
http://mouse.owl#MA_0002684,http://human.owl#NCI_C32658,True,,413,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001249,http://human.owl#NCI_C33075,True,,400,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001221,http://human.owl#NCI_C33748,True,,413,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001615,http://human.owl#NCI_C12262,True,,407,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0002234,http://human.owl#NCI_C53050,True,,397,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,False,False
http://mouse.owl#MA_0002390,http://human.owl#NCI_C33743,True,,400,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000451,http://human.owl#NCI_C32497,True,,389,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001460,http://human.owl#NCI_C33627,False,,384,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,False,False
http://mouse.owl#MA_0002434,http://human.owl#NCI_C12909,True,,412,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000777,http://human.owl#NCI_C33791,True,,405,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001095,http://human.owl#NCI_C12758,True,,399,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001836,http://human.owl#NCI_C49212,True,,430,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000470,http://human.owl#NCI_C32742,True,,387,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000813,http://human.owl#NCI_C12349,True,,390,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000789,http://human.owl#NCI_C32296,False,,404,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,False,False
http://mouse.owl#MA_0000702,http://human.owl#NCI_C49191,True,,411,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001454,http://human.owl#NCI_C33869,True,,384,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,False,False
http://mouse.owl#MA_0000172,http://human.owl#NCI_C12457,True,,382,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000060,http://human.owl#NCI_C12679,False,,391,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000756,http://human.owl#NCI_C12992,True,,386,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000796,http://human.owl#NCI_C12299,True,,378,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001338,http://human.owl#NCI_C33139,False,,412,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,False,False
http://mouse.owl#MA_0001730,http://human.owl#NCI_C49313,True,,415,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001320,http://human.owl#NCI_C33178,True,,410,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0001552,http://human.owl#NCI_C33565,True,,426,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0000004,http://human.owl#NCI_C13041,False,,128,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,False,False
http://mouse.owl#MA_0000206,http://human.owl#NCI_C12442,True,,406,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
http://mouse.owl#MA_0002487,http://human.owl#NCI_C33603,True,,391,few_shot_rag,3,qwen/qwen3-vl-8b-instruct,True,False
