Source,Target,LLMDecision,LLMConfidence,LogMapScore,Label,LogMapPred,ChangedByLLM,LLMHelped,LLMHurt
http://human.owl#NCI_C49220,http://mouse.owl#MA_0001734,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C32658,http://mouse.owl#MA_0002684,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C52769,http://mouse.owl#MA_0000315,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C53050,http://mouse.owl#MA_0002234,True,0.95,1.0,False,True,False,False,False
http://human.owl#NCI_C49479,http://mouse.owl#MA_0001665,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12677,http://mouse.owl#MA_0001630,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C33627,http://mouse.owl#MA_0001460,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C49479,http://mouse.owl#MA_0001669,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C33309,http://mouse.owl#MA_0002497,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33791,http://mouse.owl#MA_0000777,False,0.05,1.0,True,True,True,False,True
