Source,Target,ConflictScore,Confidence,LogMapDecision,Label,LogMapPred
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anatomical_structure,http://www.ihtsdo.org/snomed#Anatomical_structure,3463,0.7510000000000001,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_regions_of_neck,http://www.ihtsdo.org/snomed#Region_of_neck,19,0.76,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Portion_of_body_substance,http://www.ihtsdo.org/snomed#Body_substance,2547,0.7809999999999999,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anus,http://www.ihtsdo.org/snomed#Appearance_of_anus,3,0.73,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Surface_of_tooth,http://www.ihtsdo.org/snomed#Tooth_surface,64,0.865,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cartilage_tissue,http://www.ihtsdo.org/snomed#Cartilage_tissue,102,0.724,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tongue,http://www.ihtsdo.org/snomed#Appearance_of_tongue,4,0.73,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Peritoneal_recess,http://www.ihtsdo.org/snomed#Peritoneal_recess,45,0.754,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lobe_of_liver,http://www.ihtsdo.org/snomed#Lobe_of_liver,20,0.7569999999999999,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anatomical_landmark,http://www.ihtsdo.org/snomed#Anatomical_landmark,23,0.7569999999999999,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Embryonic_structure,http://www.ihtsdo.org/snomed#Embryonic_structure,2,0.73,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anatomical_junction,http://www.ihtsdo.org/snomed#Anatomical_junction,284,0.7330000000000001,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Ureter,http://www.ihtsdo.org/snomed#Both_ureters,4,0.7749999999999999,False,False,False
