Source,Target,SelectedPlan,DecisionType,Reasoning,LLMDecision,Label,LogMapPred
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Protein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Protein_Turn,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hormone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hormone,1,llm_reasoning,"Plan 1 addresses a clearer logical inconsistency: 'Hormone' as a 'Material anatomical entity' cannot be a subclass of 'Endocrine Gland Secretion' as a 'Drug, Food, Chemical or Biomedical Material', since they represent different ontological categories. Plan 2's response is less problematic as 'Peptide Hormone' and 'Peptide hormone' are likely the same concept, and the broader category 'Material anatomical entity' is more specific than 'Thing', making 'False' less obviously incorrect.",False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Interleukin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Interleukin,2,single_invalid,,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Chemokine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Therapeutic_Chemokine,1,llm_reasoning,"Plan 1's mapping is logically inconsistent because 'Chemokine' (subclass of 'Material anatomical entity') cannot be a subclass of 'Recombinant Chemokine' (subclass of 'Thing'), as 'Thing' is too broad and not semantically aligned. Plan 2's mapping is also False, but the inconsistency is less severe since both entities are at similar abstraction levels. Plan 1 removes a more clearly invalid subclass relationship.",False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Secretion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cellular_Secretion,1,llm_reasoning,"Plan 1 involves 'Secretion' (Material anatomical entity) and 'Secretory' (Thing). 'Secretion' is a material entity, while 'Secretory' is a general 'Thing'. It is logically inconsistent to claim 'Secretion' is a subclass of 'Secretory' because 'Secretory' is too broad and lacks specificity. Plan 2 is less problematic as 'Sweats' and 'Sweat' are both material entities, and the inconsistency is less severe. Plan 1's mapping is more likely to be the source of logical inconsistency.",False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_nasal_glands,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nose_Nasal_Cavity_Nasal_Gland_MMHCC,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_glands,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Gland,1,llm_reasoning,"Plan 1 involves a clearer hierarchical relationship where 'Glands set' is a collection or grouping of glands, making it less likely to be a subclass of 'gland'. The LLM response 'False' correctly identifies this inconsistency. Plan 2's entities belong to different broader categories, making subclass relationship less likely, but the categories are more semantically distant, reducing the chance of a logical inconsistency. Plan 1's inconsistency is more direct and likely to be the source of conflict.",False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Adipose_tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adipose_Tissue_MMHCC,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Germinal_epithelium_of_ovary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ovary_Germinal_Epithelium_MMHCC,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Trophoblast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Placenta_Trophoblast_MMHCC,2,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Leukocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Leukocyte_WBC_MMHCC,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#B_lymphocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Leukocyte_Lymphocyte_B-Lymphocyte_MMHCC,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Foam_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Foam_Cell,1,llm_reasoning,"The mapping is logically inconsistent because 'Material anatomical entity' is a more specific category than 'Thing', so 'Foam cell' cannot be a subclass of 'Thing' without violating ontology hierarchy. Removing this mapping resolves the inconsistency while preserving correct mappings.",False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Plasmablast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Plasmablast,1,single_invalid,,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Parafollicular_cell_of_thyroid_gland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Thyroid_Gland_Parafollicular_Cell_MMHCC,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Type_I_cell_of_carotid_body,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Glomus_Cell,1,llm_reasoning,"The LLM response 'True' indicates that 'Glomus cell' is considered a subclass of 'Glomus Cell', which is logically inconsistent because 'Thing' is a very broad category and 'Material anatomical entity' is more specific. This inconsistency suggests the mapping should be removed to preserve logical integrity.",False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Meninx,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#CNS_Brain_Meninges_MMHCC,2,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Meninx,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#CNS_Brain_Meninges_MMHCC,1,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anastomosis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Anastomosis,1,llm_reasoning,"Plan 1 involves a logical inconsistency: 'Material anatomical entity' is a more specific category than 'Thing', so 'Anastomosis' cannot be a subclass of 'Thing' if it is already classified under 'Material anatomical entity'. Plan 2 is logically consistent as 'Anastomosis' is a subclass of 'Circulatory System Part' in a plausible biological hierarchy. Thus, Plan 1 must be repaired to resolve the inconsistency.",False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lipoprotein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lipoprotein,1,llm_reasoning,"Plan 1 involves 'Lipoprotein' mapped to 'Material anatomical entity' and 'Thing', which are logically consistent as 'Material anatomical entity' is a more specific subclass of 'Thing'. Plan 2's mapping of 'Myelin' to 'Thing' is less specific and potentially inconsistent, as 'Material anatomical entity' is a more precise category. However, since both plans return 'True', Plan 1 is preferred as it represents a more standard and less ambiguous subclass relationship.",False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cell_adhesion_molecule,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cell_Adhesion_Molecule,1,llm_reasoning,"Plan 1 involves a more fundamental category mismatch: 'Material anatomical entity' and 'Thing' are not directly comparable in specificity. Removing this mapping resolves a potential logical inconsistency without losing valid mappings. Plan 2's 'False' response is less problematic since 'N-CAM' is a specific type of 'CAM', which is a subclass of 'Thing', making the mapping logically consistent.",False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Intermediate_filament_protein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Intermediate_Filament_Protein,1,single_invalid,,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Actin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Actin,1,single_invalid,,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Interleukin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Interleukin,1,llm_reasoning,"Plan 1 involves a more general category hierarchy ('Material anatomical entity' vs 'Thing'), making the subclass relationship more logically sound. Plan 2's mapping may be incorrect due to the broader 'Thing' category, which is too vague to support a meaningful subclass relationship.",False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#White_pulp_of_spleen,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Spleen_White_Pulp_MMHCC,2,single_invalid,,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cell_component,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cell_Part,1,llm_reasoning,"Plan 1 involves entities from different broader categories ('Thing' vs 'Material anatomical entity'), making the subclass relationship more logically ambiguous and thus more likely to be the source of inconsistency. Plan 2 involves entities from the same broader category ('Thing'), making the subclass relationship more straightforward and less likely to be the source of inconsistency.",False,False,False
