Source,Target,ConflictScore,Confidence,LogMapDecision,Label,LogMapPred
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Protein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Protein_Turn,430,0.718,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hormone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hormone,34,0.772,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cytokine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Therapeutic_Cytokine,66,0.847,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Chemokine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Therapeutic_Chemokine,22,0.823,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Secretion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cellular_Secretion,37,0.7090000000000001,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_nasal_glands,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nose_Nasal_Cavity_Nasal_Gland_MMHCC,1,0.7569999999999999,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_glands,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Gland,10,0.808,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Adipose_tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adipose_Tissue_MMHCC,19,0.7869999999999999,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Germinal_epithelium_of_ovary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ovary_Germinal_Epithelium_MMHCC,3,0.724,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Embryonic_structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Embryonic_Structure,2,0.772,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Leukocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Leukocyte_WBC_MMHCC,98,0.772,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#B_lymphocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Leukocyte_Lymphocyte_B-Lymphocyte_MMHCC,1,0.736,False,False,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Foam_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Foam_Cell,1,0.7629999999999999,False,True,False
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Plasmablast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Plasmablast,1,0.778,False,True,False
