Source,Target,LLMDecision,LLMConfidence,LLMTotalTokens,ExperimentType,K,Model,Label,LogMapPred
http://mouse.owl#MA_0002684,http://human.owl#NCI_C32658,True,,203,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001249,http://human.owl#NCI_C33075,True,,199,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001221,http://human.owl#NCI_C33748,True,,191,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001615,http://human.owl#NCI_C12262,True,,196,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002234,http://human.owl#NCI_C53050,True,,251,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0002390,http://human.owl#NCI_C33743,True,,248,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000451,http://human.owl#NCI_C32497,True,,110,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001460,http://human.owl#NCI_C33627,True,,260,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0002434,http://human.owl#NCI_C12909,True,,226,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000777,http://human.owl#NCI_C33791,True,,204,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001095,http://human.owl#NCI_C12758,True,,268,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001836,http://human.owl#NCI_C49212,True,,118,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000470,http://human.owl#NCI_C32742,True,,108,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000813,http://human.owl#NCI_C12349,True,,220,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000789,http://human.owl#NCI_C32296,False,,254,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000702,http://human.owl#NCI_C49191,True,,287,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001454,http://human.owl#NCI_C33869,True,,253,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000172,http://human.owl#NCI_C12457,True,,111,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000060,http://human.owl#NCI_C12679,True,,399,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000756,http://human.owl#NCI_C12992,True,,190,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000796,http://human.owl#NCI_C12299,True,,107,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001338,http://human.owl#NCI_C33139,False,,215,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0001730,http://human.owl#NCI_C49313,True,,258,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001320,http://human.owl#NCI_C33178,True,,259,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001552,http://human.owl#NCI_C33565,True,,185,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000004,http://human.owl#NCI_C13041,False,,215,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000206,http://human.owl#NCI_C12442,True,,192,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002487,http://human.owl#NCI_C33603,True,,252,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000205,http://human.owl#NCI_C12442,True,,326,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000237,http://human.owl#NCI_C12499,True,,206,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001841,http://human.owl#NCI_C49210,True,,334,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0001633,http://human.owl#NCI_C49228,True,,182,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002420,http://human.owl#NCI_C12725,True,,229,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000398,http://human.owl#NCI_C32492,True,,306,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001616,http://human.owl#NCI_C12261,True,,211,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000768,http://human.owl#NCI_C33771,False,,413,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0002554,http://human.owl#NCI_C33340,True,,194,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002748,http://human.owl#NCI_C13082,True,,160,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000014,http://human.owl#NCI_C12907,True,,230,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001771,http://human.owl#NCI_C12867,True,,178,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000369,http://human.owl#NCI_C12927,True,,228,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001355,http://human.owl#NCI_C32414,True,,271,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002683,http://human.owl#NCI_C32656,True,,316,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002302,http://human.owl#NCI_C53172,True,,257,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001729,http://human.owl#NCI_C49312,True,,220,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000388,http://human.owl#NCI_C12598,False,,257,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002723,http://human.owl#NCI_C32743,False,,255,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000166,http://human.owl#NCI_C12437,False,,318,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000341,http://human.owl#NCI_C12421,True,,302,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0001100,http://human.owl#NCI_C12806,True,,221,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002677,http://human.owl#NCI_C48257,False,,328,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000333,http://human.owl#NCI_C12379,True,,109,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000170,http://human.owl#NCI_C12455,True,,300,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001914,http://human.owl#NCI_C52844,True,,282,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001659,http://human.owl#NCI_C32683,True,,238,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001269,http://human.owl#NCI_C32315,True,,189,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002655,http://human.owl#NCI_C12884,False,,286,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0002127,http://human.owl#NCI_C33665,True,,223,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001073,http://human.owl#NCI_C12897,True,,258,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0001546,http://human.owl#NCI_C32929,True,,220,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000251,http://human.owl#NCI_C33528,True,,237,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001326,http://human.owl#NCI_C33205,False,,343,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0001251,http://human.owl#NCI_C49482,True,,214,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000901,http://human.owl#NCI_C32653,False,,295,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002688,http://human.owl#NCI_C32926,True,,237,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001253,http://human.owl#NCI_C49482,True,,296,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0002225,http://human.owl#NCI_C33666,False,,316,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000026,http://human.owl#NCI_C12742,True,,255,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000417,http://human.owl#NCI_C32056,True,,278,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002062,http://human.owl#NCI_C33661,False,,207,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0000323,http://human.owl#NCI_C12378,True,,111,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0001347,http://human.owl#NCI_C33121,False,,222,zero_shot,0,meta-llama/llama-3.1-70b-instruct,False,False
http://mouse.owl#MA_0001831,http://human.owl#NCI_C49210,True,,429,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001039,http://human.owl#NCI_C12899,True,,201,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0001624,http://human.owl#NCI_C12259,True,,299,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0002131,http://human.owl#NCI_C12879,True,,272,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
http://mouse.owl#MA_0000436,http://human.owl#NCI_C12683,True,,252,zero_shot,0,meta-llama/llama-3.1-70b-instruct,True,False
