Source,Target,Prediction,Label
http://mouse.owl#MA_0000322,http://human.owl#NCI_C32461,False,True
http://mouse.owl#MA_0000381,http://human.owl#NCI_C12722,True,False
http://mouse.owl#MA_0001513,http://human.owl#NCI_C32577,False,False
http://mouse.owl#MA_0000717,http://human.owl#NCI_C13053,True,False
http://mouse.owl#MA_0001693,http://human.owl#NCI_C32211,True,True
http://mouse.owl#MA_0001086,http://human.owl#NCI_C33870,False,True
http://mouse.owl#MA_0002458,http://human.owl#NCI_C32335,False,False
http://mouse.owl#MA_0002614,http://human.owl#NCI_C12390,False,False
http://mouse.owl#MA_0001692,http://human.owl#NCI_C32205,True,True
http://mouse.owl#MA_0002433,http://human.owl#NCI_C12680,False,False
http://mouse.owl#MA_0002681,http://human.owl#NCI_C32540,True,True
http://mouse.owl#MA_0001088,http://human.owl#NCI_C12911,True,False
http://mouse.owl#MA_0001425,http://human.owl#NCI_C32299,False,False
http://mouse.owl#MA_0001427,http://human.owl#NCI_C32245,True,True
http://mouse.owl#MA_0000031,http://human.owl#NCI_C12799,False,False
http://mouse.owl#MA_0000807,http://human.owl#NCI_C12850,False,True
http://mouse.owl#MA_0001631,http://human.owl#NCI_C32356,False,False
http://mouse.owl#MA_0001906,http://human.owl#NCI_C12290,False,False
http://mouse.owl#MA_0001426,http://human.owl#NCI_C32244,True,True
http://mouse.owl#MA_0002237,http://human.owl#NCI_C32854,False,False
http://mouse.owl#MA_0000041,http://human.owl#NCI_C32608,False,True
http://mouse.owl#MA_0000357,http://human.owl#NCI_C32356,True,False
http://mouse.owl#MA_0001614,http://human.owl#NCI_C32656,False,False
http://mouse.owl#MA_0001545,http://human.owl#NCI_C32931,False,False
http://mouse.owl#MA_0000485,http://human.owl#NCI_C32494,True,False
http://mouse.owl#MA_0000396,http://human.owl#NCI_C13017,True,False
http://mouse.owl#MA_0001589,http://human.owl#NCI_C12234,True,False
http://mouse.owl#MA_0001440,http://human.owl#NCI_C33725,True,True
http://mouse.owl#MA_0002523,http://human.owl#NCI_C52552,False,False
http://mouse.owl#MA_0000380,http://human.owl#NCI_C12331,False,False
http://mouse.owl#MA_0000887,http://human.owl#NCI_C32065,False,True
http://mouse.owl#MA_0002346,http://human.owl#NCI_C32857,True,True
http://mouse.owl#MA_0001354,http://human.owl#NCI_C32554,False,True
http://mouse.owl#MA_0000953,http://human.owl#NCI_C32249,False,True
http://mouse.owl#MA_0001766,http://human.owl#NCI_C49246,True,True
http://mouse.owl#MA_0000056,http://human.owl#NCI_C12472,True,False
http://mouse.owl#MA_0000889,http://human.owl#NCI_C12449,False,True
http://mouse.owl#MA_0000631,http://human.owl#NCI_C33547,False,False
http://mouse.owl#MA_0000325,http://human.owl#NCI_C12413,False,True
http://mouse.owl#MA_0002493,http://human.owl#NCI_C48941,True,True
http://mouse.owl#MA_0002360,http://human.owl#NCI_C32570,False,True
http://mouse.owl#MA_0000731,http://human.owl#NCI_C12771,False,False
http://mouse.owl#MA_0000690,http://human.owl#NCI_C40186,True,True
http://mouse.owl#MA_0002474,http://human.owl#NCI_C13345,False,False
http://mouse.owl#MA_0001753,http://human.owl#NCI_C33049,False,False
http://mouse.owl#MA_0001527,http://human.owl#NCI_C12382,False,False
http://mouse.owl#MA_0002607,http://human.owl#NCI_C33879,False,True
http://mouse.owl#MA_0001331,http://human.owl#NCI_C12858,False,False
http://mouse.owl#MA_0001527,http://human.owl#NCI_C12379,False,False
http://mouse.owl#MA_0000688,http://human.owl#NCI_C32223,True,True
http://mouse.owl#MA_0000952,http://human.owl#NCI_C32248,False,True
http://mouse.owl#MA_0001459,http://human.owl#NCI_C13076,False,False
http://mouse.owl#MA_0001765,http://human.owl#NCI_C49247,True,True
http://mouse.owl#MA_0000950,http://human.owl#NCI_C32246,False,True
http://mouse.owl#MA_0001735,http://human.owl#NCI_C32484,True,False
http://mouse.owl#MA_0000773,http://human.owl#NCI_C32988,True,True
http://mouse.owl#MA_0001588,http://human.owl#NCI_C12233,True,False
http://mouse.owl#MA_0001111,http://human.owl#NCI_C33870,False,False
http://mouse.owl#MA_0002576,http://human.owl#NCI_C32161,False,False
http://mouse.owl#MA_0000951,http://human.owl#NCI_C32247,False,True
http://mouse.owl#MA_0000761,http://human.owl#NCI_C33605,True,True
http://mouse.owl#MA_0000211,http://human.owl#NCI_C32105,False,False
http://mouse.owl#MA_0000051,http://human.owl#NCI_C32974,False,False
http://mouse.owl#MA_0001632,http://human.owl#NCI_C49227,True,True
http://mouse.owl#MA_0000428,http://human.owl#NCI_C33022,True,True
http://mouse.owl#MA_0001443,http://human.owl#NCI_C33728,True,True
http://mouse.owl#MA_0000919,http://human.owl#NCI_C48822,True,False
http://mouse.owl#MA_0002749,http://human.owl#NCI_C33355,False,False
http://mouse.owl#MA_0002023,http://human.owl#NCI_C12831,False,False
http://mouse.owl#MA_0001444,http://human.owl#NCI_C33729,True,True
http://mouse.owl#MA_0001114,http://human.owl#NCI_C32136,True,True
http://mouse.owl#MA_0000179,http://human.owl#NCI_C52717,False,False
http://mouse.owl#MA_0001098,http://human.owl#NCI_C28351,True,False
http://mouse.owl#MA_0000429,http://human.owl#NCI_C33023,True,True
http://mouse.owl#MA_0002303,http://human.owl#NCI_C52701,True,True
http://mouse.owl#MA_0000270,http://human.owl#NCI_C33736,False,True
http://mouse.owl#MA_0001677,http://human.owl#NCI_C32154,False,False
http://mouse.owl#MA_0001442,http://human.owl#NCI_C33727,True,True
