Source,Target,SelectedPlan,DecisionType,Reasoning,LLMDecision,Label,LogMapPred
http://snomed.info/id/39274007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62403,1,single_invalid,,False,False,False
http://snomed.info/id/68827007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36874,1,single_invalid,,False,False,False
http://snomed.info/id/363418001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91446,1,single_invalid,,False,False,False
http://snomed.info/id/41607009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91501,1,single_invalid,,False,False,False
http://snomed.info/id/393564001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91479,2,llm_reasoning,"Plan 2's mapping is logically inconsistent because 'Glioblastoma Multiforme Pathway' is a pathway and 'Glioma' is a disease/disorder, making subclass relationship impossible. Plan 1's mapping is also inconsistent but less severe since both entities are disorders, and 'Neoplastic disease' could plausibly be a subclass of 'Neoplasm' in some ontologies. Plan 2's inconsistency is more fundamental and likely requires removal.",False,False,False
http://snomed.info/id/63364005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91465,1,single_invalid,,False,False,False
http://snomed.info/id/126980002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21996,1,single_invalid,,False,False,False
http://snomed.info/id/3898006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3677,2,llm_reasoning,"Plan 2's mapping is logically inconsistent because 'Benign Neoplasm' is indeed a subclass of 'Neoplasm, benign (morphologic abnormality)' in biomedical ontologies. The LLM response 'False' is incorrect, indicating a potential error in the mapping. Plan 1's response 'False' is consistent with the ontologies, as 'Body structure' is not a subclass of 'Body Part'. Thus, Plan 2 contains the mapping causing inconsistency and should be removed.",False,True,False
http://snomed.info/id/115233005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23999,1,llm_reasoning,"Plan 1 contains mappings that are logically inconsistent (e.g., 'Germ cell neoplasm' and 'Mouse Germ Cell Neoplasm' are in different ontologies and categories, making subclass relationship invalid), while Plan 2's mappings are semantically closer and less likely to be inconsistent. Removing Plan 1's mappings addresses the inconsistency without losing valid mappings.",False,False,False
http://snomed.info/id/86049000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14143,1,llm_reasoning,"Plan 1 contains mappings that are logically inconsistent (e.g., 'Germ cell neoplasm' and 'Mouse Germ Cell Neoplasm' are in different ontologies and categories, making subclass relationship invalid), while Plan 2's mappings are semantically closer and less likely to be inconsistent. Removing Plan 1's mappings addresses the inconsistency without losing valid mappings.",False,False,False
http://snomed.info/id/255055008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23045,1,single_invalid,,False,False,False
http://snomed.info/id/88230002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26407,1,single_invalid,,False,False,False
http://snomed.info/id/393564001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91479,1,single_invalid,,False,False,False
http://snomed.info/id/276827001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64046,1,single_invalid,,False,False,False
http://snomed.info/id/442868003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22946,1,single_invalid,,False,False,False
http://snomed.info/id/400186008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24035,1,single_invalid,,False,False,False
http://snomed.info/id/95320005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26404,1,single_invalid,,False,False,False
http://snomed.info/id/768934004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22004,1,single_invalid,,False,False,False
http://snomed.info/id/424568000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21622,1,single_invalid,,False,False,False
