Source,Target,LLMDecision,LLMConfidence,LLMTotalTokens,LogMapScore,ExperimentType,K,Model,Prompt,Label,LogMapPred
http://human.owl#NCI_C32461,http://mouse.owl#MA_0000322,True,,124,,zero_shot,0,gemini-2.5-pro,direct_entity,True,False
http://human.owl#NCI_C12722,http://mouse.owl#MA_0000381,False,,129,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C32577,http://mouse.owl#MA_0001513,True,,128,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C13053,http://mouse.owl#MA_0000717,False,,131,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C32211,http://mouse.owl#MA_0001693,True,,139,,zero_shot,0,gemini-2.5-pro,direct_entity,True,False
http://human.owl#NCI_C33870,http://mouse.owl#MA_0001086,True,,135,,zero_shot,0,gemini-2.5-pro,direct_entity,True,False
http://human.owl#NCI_C32335,http://mouse.owl#MA_0002458,True,,130,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C12390,http://mouse.owl#MA_0002614,False,,133,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C32205,http://mouse.owl#MA_0001692,True,,129,,zero_shot,0,gemini-2.5-pro,direct_entity,True,False
http://human.owl#NCI_C12680,http://mouse.owl#MA_0002433,True,,133,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C32540,http://mouse.owl#MA_0002681,True,,135,,zero_shot,0,gemini-2.5-pro,direct_entity,True,False
http://human.owl#NCI_C12911,http://mouse.owl#MA_0001088,True,,135,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C32299,http://mouse.owl#MA_0001425,False,,136,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C32245,http://mouse.owl#MA_0001427,True,,138,,zero_shot,0,gemini-2.5-pro,direct_entity,True,False
http://human.owl#NCI_C12799,http://mouse.owl#MA_0000031,True,,122,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C12850,http://mouse.owl#MA_0000807,True,,130,,zero_shot,0,gemini-2.5-pro,direct_entity,True,False
http://human.owl#NCI_C32356,http://mouse.owl#MA_0001631,False,,131,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
http://human.owl#NCI_C12290,http://mouse.owl#MA_0001906,True,,124,,zero_shot,0,gemini-2.5-pro,direct_entity,False,False
