Source,Target,LLMDecision,LLMConfidence,LLMTotalTokens,LogMapScore,ExperimentType,K,Model,Prompt,Label,LogMapPred
http://human.owl#NCI_C32461,http://mouse.owl#MA_0000322,True,,127.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C12722,http://mouse.owl#MA_0000381,False,,128.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32577,http://mouse.owl#MA_0001513,True,,131.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C13053,http://mouse.owl#MA_0000717,True,,136.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32211,http://mouse.owl#MA_0001693,True,,141.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C33870,http://mouse.owl#MA_0001086,True,,143.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C32335,http://mouse.owl#MA_0002458,False,,131.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C12390,http://mouse.owl#MA_0002614,False,,134.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32205,http://mouse.owl#MA_0001692,True,,132.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C12680,http://mouse.owl#MA_0002433,False,,132.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32540,http://mouse.owl#MA_0002681,True,,141.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C12911,http://mouse.owl#MA_0001088,True,,136.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32299,http://mouse.owl#MA_0001425,False,,138.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32245,http://mouse.owl#MA_0001427,True,,138.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C12799,http://mouse.owl#MA_0000031,True,,124.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C12850,http://mouse.owl#MA_0000807,True,,134.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C32356,http://mouse.owl#MA_0001631,False,,135.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C12290,http://mouse.owl#MA_0001906,True,,127.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32244,http://mouse.owl#MA_0001426,True,,138.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C32854,http://mouse.owl#MA_0002237,True,,134.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32608,http://mouse.owl#MA_0000041,True,,130.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,True,False
http://human.owl#NCI_C32356,http://mouse.owl#MA_0000357,True,,139.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32656,http://mouse.owl#MA_0001614,True,,138.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
http://human.owl#NCI_C32931,http://mouse.owl#MA_0001545,False,,133.0,,zero_shot,0,qwen/qwen3-vl-8b-instruct,direct_entity,False,False
