Source,Target,SelectedPlan,DecisionType,Reasoning,LLMDecision,Label,LogMapPred
http://www.ihtsdo.org/snomed#Action,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Action,4,llm_reasoning,"Plan 4 reveals a potential logical inconsistency due to conflicting classifications of the same entity 'Action' under different broader categories ('Thing' vs. 'Unapproved_attribute'), which may indicate an ontology alignment error. Removing this conflicting mapping is most likely to resolve inconsistency while preserving correct mappings.",False,True,False
http://www.ihtsdo.org/snomed#Education,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Education,1,single_invalid,,False,False,False
http://www.ihtsdo.org/snomed#Writing,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Write,1,single_invalid,,False,True,False
http://www.ihtsdo.org/snomed#Surgical_specialty,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Surgical_Specialty,1,llm_reasoning,"Plan 1 involves entities from different ontologies with distinct broader categories ('Thing' vs 'NCI Administrative Concept'), making the subclass relationship unlikely. The LLM response 'False' is logically consistent with this mismatch. Plan 2's entities are both surgical-related but under different broader categories, and 'False' may still be correct, but Plan 1's inconsistency is more clearly rooted in ontological mismatch, making it more likely to be the source of conflict.",False,True,False
http://www.ihtsdo.org/snomed#Nicotine_nasal_spray,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nicotine_Nasal_Spray,1,single_invalid,,False,True,False
http://www.ihtsdo.org/snomed#Hormone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hormone,1,llm_reasoning,"Plan 1 involves entities with clearly incompatible broader categories ('Unapproved_attribute' vs 'Physiology-Regulatory Factors'), making the subclass relationship logically inconsistent. Plan 2's entities also have incompatible categories, but 'Endocrine Drug Therapy' is more plausible as a valid superclass for 'Exogenous Hormone Use' than 'Unapproved_attribute'. Thus, Plan 1's inconsistency is more severe and likely the source of the conflict.",False,True,False
http://www.ihtsdo.org/snomed#Elliptocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Elliptocyte_Count,1,single_invalid,,False,False,False
http://www.ihtsdo.org/snomed#Atypical_lymphocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Atypical_Lymphocyte_Count,1,single_invalid,,False,False,False
http://www.ihtsdo.org/snomed#Lymphangiogram,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lymphangiogram,1,llm_reasoning,"Plan 1 involves a clearer hierarchical conflict: 'Lymphangiogram' cannot be both a 'Thing' and a subclass of 'Image' without logical inconsistency. Plan 2's 'False' response is less problematic since 'Diagnostic Radiology' is more specific than 'Thing', making the mapping logically consistent. Thus, Plan 1 contains the inconsistency requiring removal.",False,True,False
http://www.ihtsdo.org/snomed#Walking,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Walking,1,single_invalid,,False,True,False
